params,I_lower_mean,I_lower_std,I_upper_mean,E_mean,beta_E,beta_C,stage,seed_count,trial_count,L1_theta,J_mean,J_std
"{'theta0': 2.0, 'thetaV': 6.5, 'thetaa': 0.0, 'thetaVV': 0.0, 'thetaaa': 0.0, 'thetaVa': 0.0}",85.91729954139582,1.5283185681698594,107.28842083571105,76.38772504348135,0.0,0.0,Stage 1,3,20,8.5,85.91729954139582,1.5283185681698594
"{'theta0': 2.0, 'thetaV': 6.5, 'thetaa': 0.0, 'thetaVV': 0.0, 'thetaaa': 0.0, 'thetaVa': 0.0}",85.91729954139582,1.5283185681698594,107.28842083571105,76.38772504348135,0.0,0.01,Stage 1,3,20,8.5,85.83229954139583,1.5283185681698594
"{'theta0': 2.0, 'thetaV': 6.0, 'thetaa': 0.0, 'thetaVV': 0.0, 'thetaaa': 0.0, 'thetaVa': 0.0}",85.24618194205766,0.9821104015674992,106.99845987042431,72.86765315091957,0.1,0.0,Stage 1,3,20,8.0,77.4594166269657,0.9821104015674992
"{'theta0': 2.0, 'thetaV': 6.0, 'thetaa': 0.0, 'thetaVV': 0.0, 'thetaaa': 0.0, 'thetaVa': 0.0}",85.24618194205766,0.9821104015674992,106.99845987042431,72.86765315091957,0.1,0.01,Stage 1,3,20,8.0,77.3794166269657,0.9821104015674992
"{'theta0': -0.666666666666667, 'thetaV': 5.0, 'thetaa': 0.0, 'thetaVV': 0.0, 'thetaaa': 0.0, 'thetaVa': 0.0}",77.71591473972798,1.7955118141299733,103.3954624446311,41.62677055657482,0.3,0.0,Stage 1,3,20,5.666666666666667,63.72788357275553,1.7955118141299733
"{'theta0': -0.666666666666667, 'thetaV': 5.0, 'thetaa': 0.0, 'thetaVV': 0.0, 'thetaaa': 0.0, 'thetaVa': 0.0}",77.71591473972798,1.7955118141299733,103.3954624446311,41.62677055657482,0.3,0.01,Stage 1,3,20,5.666666666666667,63.671216906088866,1.7955118141299733
"{'theta0': -6.5, 'thetaV': 5.0, 'thetaa': 0.0, 'thetaVV': 0.0, 'thetaaa': 0.0, 'thetaVa': 0.5}",93.7195097819125,1.0830084618916425,106.58561318664196,123.11431165765413,0.0,0.01,Stage 2,3,20,12.0,93.5995097819125,1.0830084618916425
"{'theta0': -6.5, 'thetaV': 5.0, 'thetaa': 0.0, 'thetaVV': 0.0, 'thetaaa': 0.0, 'thetaVa': 0.5}",93.7195097819125,1.0830084618916425,106.58561318664196,123.11431165765413,0.0,0.03,Stage 2,3,20,12.0,93.35950978191251,1.0830084618916425
"{'theta0': -6.5, 'thetaV': 5.0, 'thetaa': 0.0, 'thetaVV': 0.0, 'thetaaa': 0.0, 'thetaVa': 0.5}",93.7195097819125,1.0830084618916425,106.58561318664196,123.11431165765413,0.0,0.1,Stage 2,3,20,12.0,92.5195097819125,1.0830084618916425
"{'theta0': -4.611111111111111, 'thetaV': 1.75, 'thetaa': 0.0, 'thetaVV': 0.0, 'thetaaa': 0.0, 'thetaVa': 0.125}",62.7428643033255,1.7876641826371327,80.24162631436036,16.94865568651659,0.3,0.01,Stage 2,3,20,6.486111111111111,56.093406486259404,1.7876641826371327
"{'theta0': -4.611111111111111, 'thetaV': 1.75, 'thetaa': 0.0, 'thetaVV': 0.0, 'thetaaa': 0.0, 'thetaVa': 0.125}",62.7428643033255,1.7876641826371327,80.24162631436036,16.94865568651659,0.3,0.03,Stage 2,3,20,6.486111111111111,55.963684264037184,1.7876641826371327
"{'theta0': -4.611111111111111, 'thetaV': 1.75, 'thetaa': 0.0, 'thetaVV': 0.0, 'thetaaa': 0.0, 'thetaVa': 0.125}",62.7428643033255,1.7876641826371327,80.24162631436036,16.94865568651659,0.3,0.1,Stage 2,3,20,6.486111111111111,55.50965648625941,1.7876641826371327
"{'theta0': -5.75, 'thetaV': 1.9375, 'thetaa': -0.0625, 'thetaVV': 0.0, 'thetaaa': 0.0, 'thetaVa': 0.125}",44.56296153468865,0.9712087048843985,67.14833584310323,6.861297258944393,1.0,0.01,Stage 2,3,20,7.875,32.62291427574425,0.9712087048843985
"{'theta0': -5.75, 'thetaV': 1.9375, 'thetaa': -0.0625, 'thetaVV': 0.0, 'thetaaa': 0.0, 'thetaVa': 0.125}",44.56296153468865,0.9712087048843985,67.14833584310323,6.861297258944393,1.0,0.03,Stage 2,3,20,7.875,32.46541427574425,0.9712087048843985
"{'theta0': -5.125, 'thetaV': 1.875, 'thetaa': -0.125, 'thetaVV': 0.0, 'thetaaa': 0.0, 'thetaVa': 0.125}",43.71209115295519,1.00794671890098,67.83172256516093,6.667267022125785,1.0,0.1,Stage 2,3,20,7.25,31.319824130829403,1.00794671890098
"{'theta0': -6.125, 'thetaV': 1.5, 'thetaa': -4.25, 'thetaVV': 0.0, 'thetaaa': 0.0, 'thetaVa': 1.0}",30.137307526576183,0.9558987316959303,48.664951675062376,2.46409767344174,3.0,0.01,Stage 2,3,20,12.875,7.616264506250964,0.9558987316959303
"{'theta0': -6.125, 'thetaV': 1.5, 'thetaa': -4.25, 'thetaVV': 0.0, 'thetaaa': 0.0, 'thetaVa': 1.0}",30.137307526576183,0.9558987316959303,48.664951675062376,2.46409767344174,3.0,0.03,Stage 2,3,20,12.875,7.358764506250964,0.9558987316959303
"{'theta0': -6.0, 'thetaV': 1.5, 'thetaa': -4.25, 'thetaVV': 0.0, 'thetaaa': 0.0, 'thetaVa': 1.0}",31.063306869665563,0.7846819177911685,49.947379418715435,2.5978052148929964,3.0,0.1,Stage 2,3,20,12.75,6.9948912249865725,0.7846819177911685
"{'theta0': -6.0, 'thetaV': 1.5, 'thetaa': -5.75, 'thetaVV': 0.0, 'thetaaa': -0.125, 'thetaVa': 1.0}",16.307945814238547,0.885026055749363,33.65398605779322,0.8425684919247333,10.0,0.01,Stage 2,3,20,14.375,-42.26148910500878,0.885026055749363
"{'theta0': -6.0, 'thetaV': 1.5, 'thetaa': -5.75, 'thetaVV': 0.0, 'thetaaa': -0.125, 'thetaVa': 1.0}",16.307945814238547,0.885026055749363,33.65398605779322,0.8425684919247333,10.0,0.03,Stage 2,3,20,14.375,-42.54898910500878,0.885026055749363
"{'theta0': -6.0, 'thetaV': 1.5, 'thetaa': -5.75, 'thetaVV': 0.0, 'thetaaa': -0.125, 'thetaVa': 1.0}",16.307945814238547,0.885026055749363,33.65398605779322,0.8425684919247333,10.0,0.1,Stage 2,3,20,14.375,-43.55523910500878,0.885026055749363
